year,gender.wage.gap,youth.male.unemployment,youth.female.unemployment,average.wages,edu.below.upper.secondary,education.upper.secondary,edu.tertiary
1970,47.57803918,0,0,0,0,0,0
1971,45.52742185,0,0,0,0,0,0
1972,45.67779473,0,0,0,0,0,0
1973,46.37872641,0,0,0,0,0,0
1974,44.42223433,0,0,0,0,0,0
1975,39.85541472,0,0,0,0,0,0
1976,36.55030194,0,0,0,0,0,0
1977,35.78836762,0,0,0,0,0,0
1978,37.47486876,0,0,0,0,0,0
1979,38.29523952,0,0,0,0,0,0
1980,36.68858597,0,0,0,0,0,0
1981,35.4268123,0,0,0,0,0,0
1982,35.65961949,0,0,0,0,0,0
1983,34.56728192,0,0,0,0,0,0
1984,35.08152659,0,0,0,0,0,0
1985,35.12011437,0,0,0,0,0,0
1986,34.93850632,0,0,0,0,0,0
1987,34.51295439,0,0,0,0,0,0
1988,34.04572949,0,0,0,0,0,0
1989,33.73065917,0,0,0,0,0,0
1990,32.74495595,0,0,31504.60613,0,0,0
1991,31.07547805,0,0,31490.96723,0,0,0
1992,29.9466794,0,0,32122.8642,0,0,0
1993,28.71901926,0,0,32658.15158,0,0,0
1994,28.07971854,0,0,33250.26001,0,0,0
1995,28.19283491,0,0,33290.4272,0,0,0
1996,27.21841089,0,0,33294.27362,0,0,0
1997,26.91907015,0,0,34247.96325,40.922718,36.516476,22.560804
1998,27.03529422,0,0,35857.1181,39.878498,36.341915,23.779587
1999,26.08972842,0,0,37181.28906,38.399529,36.741501,24.858973
2000,26.28031383,9.483613,17.279844,38908.20716,37.388611,36.928307,25.683083
2001,25.6396459,9.4398766,16.822542,40839.51886,37.15152,36.721958,26.126522
2002,24.37909944,9.3292542,18.231985,41517.1388,35.746799,37.412674,26.840527
2003,24.12446709,10.126361,17.300253,42651.94341,34.921486,37.080341,27.998173
2004,23.35874097,9.7983456,17.041134,43662.67821,33.831558,36.829922,29.338522
2005,22.0639582,10.876059,17.395981,43597.24277,33.16832,37.12265,29.709032
2006,21.71808402,12.44111,17.715523,44590.06774,29.098894,36.709263,34.191841
2007,21.63478071,11.746177,18.057343,45881.92792,27.807289,36.656673,35.536041
2008,21.85786911,11.439487,18.117617,44679.45286,28.359348,36.424484,35.216167
2009,20.68629595,13.391606,18.009232,45455.23091,26.256872,36.758167,36.984959
2010,19.23143692,13.634942,18.306295,45526.55342,24.937599,36.87521,38.187191
2011,18.2460052,13.264379,17.81851,44375.68743,23.167467,37.420158,39.412373
2012,17.78388278,13.586856,19.086235,44006.8491,21.91477,37.107475,40.977753
2013,17.48201439,12.95553,18.25268,44141.38003,20.849527,37.258495,41.891979
2014,17.38274257,11.988289,16.854223,43782.31312,20.83497,36.947582,42.217449
2015,17.10155148,10.819592,16.727333,44125.73619,20.38233,35.419685,44.197987
2016,16.7965368,10.209829,16.240204,44465.81826,19.253021,34.980217,45.766762
2017,16.53410053,10.496338,13.953552,44589.7799,18.831131,35.424564,45.744305
2018,16.40394089,0,0,44770.04974,0,0,0
